time,open,high,low,close,"EU03MY, TVC: Open","EU03MY, TVC: High","EU03MY, TVC: Low","EU03MY, TVC: Close"
2013-06-02T21:00:00Z,0.52,0.52,0.52,0.52,0.01,0.01,0.01,0.01
2013-06-03T21:00:00Z,0.544,0.544,0.544,0.544,0.026,0.026,0.026,0.026
2013-06-04T21:00:00Z,0.531,0.531,0.531,0.531,0.026,0.026,0.026,0.026
2013-06-05T21:00:00Z,0.559,0.559,0.559,0.559,0.028,0.028,0.028,0.028
2013-06-06T21:00:00Z,0.594,0.594,0.594,0.594,0.056,0.056,0.056,0.056
2013-06-09T21:00:00Z,0.624,0.624,0.624,0.624,0.023,0.023,0.023,0.023
2013-06-10T21:00:00Z,0.656,0.656,0.656,0.656,0.023,0.023,0.023,0.023
2013-06-11T21:00:00Z,0.632,0.632,0.632,0.632,0.024,0.024,0.024,0.024
2013-06-12T21:00:00Z,0.594,0.594,0.594,0.594,0.025,0.025,0.025,0.025
2013-06-13T21:00:00Z,0.537,0.537,0.537,0.537,0.025,0.025,0.025,0.025
2013-06-16T21:00:00Z,0.548,0.548,0.548,0.548,0.025,0.025,0.025,0.025
2013-06-17T21:00:00Z,0.601,0.601,0.601,0.601,0.018,0.018,0.018,0.018
2013-06-18T21:00:00Z,0.596,0.596,0.596,0.596,0.02,0.02,0.02,0.02
2013-06-19T21:00:00Z,0.752,0.752,0.752,0.752,0.025,0.025,0.025,0.025
2013-06-20T21:00:00Z,0.808,0.808,0.808,0.808,0.023,0.023,0.023,0.023
2013-06-23T21:00:00Z,0.877,0.877,0.877,0.877,0.026,0.026,0.026,0.026
2013-06-24T21:00:00Z,0.831,0.831,0.831,0.831,0.034,0.034,0.034,0.034
2013-06-25T21:00:00Z,0.771,0.771,0.771,0.771,0.026,0.026,0.026,0.026
2013-06-26T21:00:00Z,0.74,0.74,0.74,0.74,0.007,0.007,0.007,0.007
2013-06-27T21:00:00Z,0.729,0.729,0.729,0.729,0.005,0.005,0.005,0.005
2013-06-30T21:00:00Z,0.724,0.724,0.724,0.724,0.006,0.006,0.006,0.006
2013-07-01T21:00:00Z,0.706,0.706,0.706,0.706,0.007,0.007,0.007,0.007
2013-07-02T21:00:00Z,0.671,0.671,0.671,0.671,0.005,0.005,0.005,0.005
2013-07-03T21:00:00Z,0.611,0.611,0.611,0.611,0.026,0.026,0.026,0.026
2013-07-04T21:00:00Z,0.653,0.653,0.653,0.653,-0.006,-0.006,-0.006,-0.006
2013-07-07T21:00:00Z,0.612,0.612,0.612,0.612,0.026,0.026,0.026,0.026
2013-07-08T21:00:00Z,0.566,0.566,0.566,0.566,-0.007,-0.007,-0.007,-0.007
2013-07-09T21:00:00Z,0.6,0.6,0.6,0.6,0.026,0.026,0.026,0.026
2013-07-10T21:00:00Z,0.592,0.592,0.592,0.592,0.039,0.039,0.039,0.039
2013-07-11T21:00:00Z,0.554,0.554,0.554,0.554,0.039,0.039,0.039,0.039
2013-07-14T21:00:00Z,0.576,0.576,0.576,0.576,0.04,0.04,0.04,0.04
2013-07-15T21:00:00Z,0.536,0.536,0.536,0.536,0.04,0.04,0.04,0.04
2013-07-16T21:00:00Z,0.521,0.521,0.521,0.521,0.041,0.041,0.041,0.041
2013-07-17T21:00:00Z,0.503,0.503,0.503,0.503,0.038,0.038,0.038,0.038
2013-07-18T21:00:00Z,0.508,0.508,0.508,0.508,0.11,0.11,0.11,0.11
2013-07-21T21:00:00Z,0.522,0.522,0.522,0.522,0.039,0.039,0.039,0.039
2013-07-22T21:00:00Z,0.571,0.571,0.571,0.571,0.039,0.039,0.039,0.039
2013-07-23T21:00:00Z,0.655,0.655,0.655,0.655,0.026,0.026,0.026,0.026
2013-07-24T21:00:00Z,0.664,0.664,0.664,0.664,0.027,0.027,0.027,0.027
2013-07-25T21:00:00Z,0.65,0.65,0.65,0.65,0.007,0.007,0.007,0.007
2013-07-28T21:00:00Z,0.654,0.654,0.654,0.654,0.037,0.037,0.037,0.037
2013-07-29T21:00:00Z,0.656,0.656,0.656,0.656,0.038,0.038,0.038,0.038
2013-07-30T21:00:00Z,0.66,0.66,0.66,0.66,0.038,0.038,0.038,0.038
2013-07-31T21:00:00Z,0.665,0.665,0.665,0.665,0.04,0.04,0.04,0.04
2013-08-01T21:00:00Z,0.653,0.653,0.653,0.653,0.041,0.041,0.041,0.041
2013-08-04T21:00:00Z,0.682,0.682,0.682,0.682,0.041,0.041,0.041,0.041
2013-08-05T21:00:00Z,0.696,0.696,0.696,0.696,0.036,0.036,0.036,0.036
2013-08-06T21:00:00Z,0.681,0.681,0.681,0.681,0.037,0.037,0.037,0.037
2013-08-07T21:00:00Z,0.671,0.671,0.671,0.671,0.039,0.039,0.039,0.039
2013-08-08T21:00:00Z,0.668,0.668,0.668,0.668,0.039,0.039,0.039,0.039
2013-08-11T21:00:00Z,0.686,0.686,0.686,0.686,0.04,0.04,0.04,0.04
2013-08-12T21:00:00Z,0.791,0.791,0.791,0.791,0.041,0.041,0.041,0.041
2013-08-13T21:00:00Z,0.774,0.774,0.774,0.774,0.057,0.057,0.057,0.057
2013-08-14T21:00:00Z,0.83,0.83,0.83,0.83,0.059,0.059,0.059,0.059
2013-08-15T21:00:00Z,0.81,0.81,0.81,0.81,0.009,0.009,0.009,0.009
2013-08-18T21:00:00Z,0.828,0.828,0.828,0.828,0.058,0.058,0.058,0.058
2013-08-19T21:00:00Z,0.79,0.79,0.79,0.79,0.012,0.012,0.012,0.012
2013-08-20T21:00:00Z,0.824,0.824,0.824,0.824,0.015,0.015,0.015,0.015
2013-08-21T21:00:00Z,0.864,0.864,0.864,0.864,0.015,0.015,0.015,0.015
2013-08-22T21:00:00Z,0.897,0.897,0.897,0.897,0.015,0.015,0.015,0.015
2013-08-25T21:00:00Z,0.861,0.861,0.861,0.861,0.055,0.055,0.055,0.055
2013-08-26T21:00:00Z,0.817,0.817,0.817,0.817,0.015,0.015,0.015,0.015
2013-08-27T21:00:00Z,0.84,0.84,0.84,0.84,0.016,0.016,0.016,0.016
2013-08-28T21:00:00Z,0.824,0.824,0.824,0.824,0.015,0.015,0.015,0.015
2013-08-29T21:00:00Z,0.822,0.822,0.822,0.822,0.015,0.015,0.015,0.015
2013-09-01T21:00:00Z,0.871,0.871,0.871,0.871,0.019,0.019,0.019,0.019
2013-09-02T21:00:00Z,0.906,0.906,0.906,0.906,0.02,0.02,0.02,0.02
2013-09-03T21:00:00Z,0.889,0.889,0.889,0.889,0.012,0.012,0.012,0.012
2013-09-04T21:00:00Z,1.11,1.11,1.11,1.11,0.011,0.011,0.011,0.011
2013-09-05T21:00:00Z,1.013,1.013,1.013,1.013,0.007,0.007,0.007,0.007
2013-09-08T21:00:00Z,1.017,1.017,1.017,1.017,0.023,0.023,0.023,0.023
2013-09-09T21:00:00Z,1.083,1.083,1.083,1.083,0.011,0.011,0.011,0.011
2013-09-10T21:00:00Z,1.05,1.05,1.05,1.05,0.007,0.007,0.007,0.007
2013-09-11T21:00:00Z,1.005,1.005,1.005,1.005,0.038,0.038,0.038,0.038
2013-09-12T21:00:00Z,0.99,0.99,0.99,0.99,0.014,0.014,0.014,0.014
2013-09-15T21:00:00Z,0.952,0.952,0.952,0.952,0.037,0.037,0.037,0.037
2013-09-16T21:00:00Z,0.982,0.982,0.982,0.982,0.015,0.015,0.015,0.015
2013-09-17T21:00:00Z,1.013,1.013,1.013,1.013,0.046,0.046,0.046,0.046
2013-09-18T21:00:00Z,0.924,0.924,0.924,0.924,0.03,0.03,0.03,0.03
2013-09-19T21:00:00Z,0.94,0.94,0.94,0.94,0.027,0.027,0.027,0.027
2013-09-22T21:00:00Z,0.901,0.901,0.901,0.901,0.028,0.028,0.028,0.028
2013-09-23T21:00:00Z,0.848,0.848,0.848,0.848,0.027,0.027,0.027,0.027
2013-09-24T21:00:00Z,0.845,0.845,0.845,0.845,0.026,0.026,0.026,0.026
2013-09-25T21:00:00Z,0.839,0.839,0.839,0.839,0.021,0.021,0.021,0.021
2013-09-26T21:00:00Z,0.795,0.795,0.795,0.795,0.018,0.018,0.018,0.018
2013-09-29T21:00:00Z,0.793,0.793,0.793,0.793,0.02,0.02,0.02,0.02
2013-09-30T21:00:00Z,0.822,0.822,0.822,0.822,0.019,0.019,0.019,0.019
2013-10-01T21:00:00Z,0.817,0.817,0.817,0.817,0.007,0.007,0.007,0.007
2013-10-02T21:00:00Z,0.825,0.825,0.825,0.825,0.059,0.059,0.059,0.059
2013-10-03T21:00:00Z,0.853,0.853,0.853,0.853,0.011,0.011,0.011,0.011
2013-10-06T21:00:00Z,0.824,0.824,0.824,0.824,0.059,0.059,0.059,0.059
2013-10-07T21:00:00Z,0.842,0.842,0.842,0.842,0.013,0.013,0.013,0.013
2013-10-08T21:00:00Z,0.829,0.829,0.829,0.829,0.013,0.013,0.013,0.013
2013-10-09T21:00:00Z,0.869,0.869,0.869,0.869,0.01,0.01,0.01,0.01
2013-10-10T21:00:00Z,0.852,0.852,0.852,0.852,0.009,0.009,0.009,0.009
2013-10-13T21:00:00Z,0.836,0.836,0.836,0.836,0.007,0.007,0.007,0.007
2013-10-14T21:00:00Z,0.885,0.885,0.885,0.885,0.014,0.014,0.014,0.014
2013-10-15T21:00:00Z,0.911,0.911,0.911,0.911,0.01,0.01,0.01,0.01
2013-10-16T21:00:00Z,0.842,0.842,0.842,0.842,0.041,0.041,0.041,0.041
2013-10-17T21:00:00Z,0.812,0.812,0.812,0.812,0.041,0.041,0.041,0.041
2013-10-20T21:00:00Z,0.824,0.824,0.824,0.824,0.04,0.04,0.04,0.04
2013-10-21T21:00:00Z,0.774,0.774,0.774,0.774,0.041,0.041,0.041,0.041
2013-10-22T21:00:00Z,0.756,0.756,0.756,0.756,0.041,0.041,0.041,0.041
2013-10-23T21:00:00Z,0.774,0.774,0.774,0.774,0.031,0.031,0.031,0.031
2013-10-24T21:00:00Z,0.775,0.775,0.775,0.775,0.023,0.023,0.023,0.023
2013-10-27T21:00:00Z,0.77,0.77,0.77,0.77,0.031,0.031,0.031,0.031
2013-10-28T21:00:00Z,0.756,0.756,0.756,0.756,0.031,0.031,0.031,0.031
2013-10-29T21:00:00Z,0.708,0.708,0.708,0.708,0.011,0.011,0.011,0.011
2013-10-30T21:00:00Z,0.661,0.661,0.661,0.661,0.031,0.031,0.031,0.031
2013-10-31T21:00:00Z,0.666,0.666,0.666,0.666,0.034,0.034,0.034,0.034
2013-11-03T22:00:00Z,0.662,0.662,0.662,0.662,0.031,0.031,0.031,0.031
2013-11-04T22:00:00Z,0.728,0.728,0.728,0.728,0.031,0.031,0.031,0.031
2013-11-05T22:00:00Z,0.715,0.715,0.715,0.715,0.021,0.021,0.021,0.021
2013-11-06T22:00:00Z,0.627,0.627,0.627,0.627,0.031,0.031,0.031,0.031
2013-11-07T22:00:00Z,0.692,0.692,0.692,0.692,0.031,0.031,0.031,0.031
2013-11-10T22:00:00Z,0.681,0.681,0.681,0.681,0.031,0.031,0.031,0.031
2013-11-11T22:00:00Z,0.684,0.684,0.684,0.684,0.035,0.035,0.035,0.035
2013-11-12T22:00:00Z,0.641,0.641,0.641,0.641,0.033,0.033,0.033,0.033
2013-11-13T22:00:00Z,0.628,0.628,0.628,0.628,0.017,0.017,0.017,0.017
2013-11-14T22:00:00Z,0.651,0.651,0.651,0.651,0.022,0.022,0.022,0.022
2013-11-17T22:00:00Z,0.632,0.632,0.632,0.632,0.023,0.023,0.023,0.023
